Tube,CPM,Sample,Organism,Conc
Tube06,41.00,Cells,Blank,10
Tube06,267.00,Cells,Blank,10
Tube06,10628.0,Sup,Blank,10
Tube06,10839.5,Sup,Blank,10
Tube06,3492.00,Trap,Blank,10
Tube06,2813.00,Trap,Blank,10
Tube07,84.00,Cells,KC,10
Tube07,116.50,Cells,KC,10
Tube07,9231.00,Sup,KC,10
Tube07,9555.50,Sup,KC,10
Tube07,2843.00,Trap,KC,10
Tube07,2040.50,Trap,KC,10
Tube08,2376.00,Cells,KBS0707_B1,10
Tube08,2609.00,Cells,KBS0707_B1,10
Tube08,10458.0,Sup,KBS0707_B1,10
Tube08,10316.0,Sup,KBS0707_B1,10
Tube08,9100.50,Trap,KBS0707_B1,10
Tube08,9047.00,Trap,KBS0707_B1,10
Tube09,2228.50,Cells,KBS0707_B1,10
Tube09,2380.50,Cells,KBS0707_B1,10
Tube09,10197.0,Sup,KBS0707_B1,10
Tube09,10260.0,Sup,KBS0707_B1,10
Tube09,9380.00,Trap,KBS0707_B1,10
Tube09,9457.00,Trap,KBS0707_B1,10
Tube10,4183.00,Cells,KBS0707_B1,5
Tube10,4424.50,Cells,KBS0707_B1,5
Tube10,9493.00,Sup,KBS0707_B1,5
Tube10,9479.00,Sup,KBS0707_B1,5
Tube10,15513.5,Trap,KBS0707_B1,5
Tube10,15217.5,Trap,KBS0707_B1,5
Tube11,7172.00,Cells,KBS0707_B1,5
Tube11,4527.50,Cells,KBS0707_B1,5
Tube11,9413.00,Sup,KBS0707_B1,5
Tube11,9470.50,Sup,KBS0707_B1,5
Tube11,13955.5,Trap,KBS0707_B1,5
Tube11,14108.0,Trap,KBS0707_B1,5
Tube12,8315.00,Cells,KBS0707_B1,2.5
Tube12,10039.5,Cells,KBS0707_B1,2.5
Tube12,7741.50,Sup,KBS0707_B1,2.5
Tube12,7761.00,Sup,KBS0707_B1,2.5
Tube12,20173.0,Trap,KBS0707_B1,2.5
Tube12,20666.0,Trap,KBS0707_B1,2.5
Tube13,8262.00,Cells,KBS0707_B1,2.5
Tube13,9856.50,Cells,KBS0707_B1,2.5
Tube13,7781.00,Sup,KBS0707_B1,2.5
Tube13,7748.50,Sup,KBS0707_B1,2.5
Tube13,25534.0,Trap,KBS0707_B1,2.5
Tube13,26753.0,Trap,KBS0707_B1,2.5
Tube14,17314.5,Cells,KBS0707_B1,1
Tube14,18943.5,Cells,KBS0707_B1,1
Tube14,4006.50,Sup,KBS0707_B1,1
Tube14,3925.50,Sup,KBS0707_B1,1
Tube14,52934.0,Trap,KBS0707_B1,1
Tube14,52802.0,Trap,KBS0707_B1,1
Tube15,17590.0,Cells,KBS0707_B1,1
Tube15,18618.5,Cells,KBS0707_B1,1
Tube15,3891.50,Sup,KBS0707_B1,1
Tube15,3977.50,Sup,KBS0707_B1,1
Tube15,59429.0,Trap,KBS0707_B1,1
Tube15,58796.0,Trap,KBS0707_B1,1
Tube16,30803.5,Cells,KBS0707_B1,0.5
Tube16,30205.0,Cells,KBS0707_B1,0.5
Tube16,1128.50,Sup,KBS0707_B1,0.5
Tube16,1102.00,Sup,KBS0707_B1,0.5
Tube16,68559.5,Trap,KBS0707_B1,0.5
Tube16,69660.0,Trap,KBS0707_B1,0.5
Tube17,23565.0,Cells,KBS0707_B1,0.5
Tube17,23900.0,Cells,KBS0707_B1,0.5
Tube17,1643.00,Sup,KBS0707_B1,0.5
Tube17,1618.50,Sup,KBS0707_B1,0.5
Tube17,75930.0,Trap,KBS0707_B1,0.5
Tube17,76325.5,Trap,KBS0707_B1,0.5
Tube18,22554.5,Cells,KBS0707_B1,0.25
Tube18,28266.0,Cells,KBS0707_B1,0.25
Tube18,1045.50,Sup,KBS0707_B1,0.25
Tube18,1008.50,Sup,KBS0707_B1,0.25
Tube18,58887.0,Trap,KBS0707_B1,0.25
Tube18,59827.0,Trap,KBS0707_B1,0.25
Tube19,13419.5,Cells,KBS0707_B1,0.25
Tube19,22701.0,Cells,KBS0707_B1,0.25
Tube19,1009.00,Sup,KBS0707_B1,0.25
Tube19,985.50,Sup,KBS0707_B1,0.25
Tube19,82191.5,Trap,KBS0707_B1,0.25
Tube19,82038.0,Trap,KBS0707_B1,0.25
Voucher,687080,,,
Control,28.00,,,
