Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.1168,0.6178,0.0795,2.375,-4.2621,0.0752,0.0841,0.0751,0.0838
A2,0.0879,0.6865,0.0983,4.4316,-4.5148,0.0947,0.102,0.0947,0.1019
A3,0.7136,-0.6927,0.1016,10.0175,-4.9665,0.0992,0.104,0.0992,0.1039
A4,0.092,0.4891,0.0341,4.4404,-5.2481,0.0334,0.0349,0.0334,0.0349
A5,0.1008,0.4427,0.0366,4.0132,-5.7367,0.036,0.0372,0.036,0.0371
A6,0.117,0.4222,0.0396,3.4514,-5.5273,0.0388,0.0405,0.0388,0.0405
A7,0.1222,0.4327,0.0434,3.6695,-5.547,0.0426,0.0443,0.0426,0.0442
A8,0.1076,0.4966,0.0498,3.2983,-5.3504,0.0487,0.0508,0.0487,0.0508
B1,0.095,0.5514,0.0863,2.2384,-3.8829,0.0792,0.0943,0.0789,0.0937
B2,0.7266,-0.7041,0.095,11.5667,-4.5371,0.092,0.0982,0.092,0.0981
B3,0.7169,-0.6816,0.1103,9.9485,-4.6124,0.1065,0.1143,0.1065,0.1141
B4,0.0944,0.406,0.0343,4.3767,-5.8614,0.0338,0.0348,0.0338,0.0348
B5,0.1006,0.3879,0.0357,4.0387,-5.8694,0.0352,0.0363,0.0352,0.0363
B6,0.1133,0.3697,0.0389,3.5353,-5.4662,0.0379,0.0398,0.0379,0.0398
B7,0.1192,0.3932,0.0414,3.7275,-5.5323,0.0406,0.0424,0.0406,0.0423
B8,0.1094,0.4606,0.0398,3.6912,-5.4985,0.039,0.0406,0.039,0.0405
C1,0.1053,0.5648,0.0953,2.693,-4.5245,0.0913,0.0996,0.0912,0.0994
C2,0.0829,0.7206,0.095,4.4747,-4.3639,0.0914,0.0988,0.0914,0.0986
C3,0.0925,0.7381,0.1024,3.7251,-4.7285,0.0996,0.1053,0.0996,0.1052
C4,0.0938,0.4234,0.035,4.7142,-5.8584,0.0345,0.0356,0.0345,0.0356
C5,0.0971,0.4058,0.033,3.9126,-6.2367,0.0326,0.0333,0.0326,0.0333
C6,0.1141,0.3558,0.0356,3.33,-5.4256,0.0347,0.0366,0.0347,0.0365
C7,0.1173,0.3692,0.0402,3.8931,-5.419,0.0391,0.0412,0.0391,0.0412
C8,0.1051,0.4624,0.0415,3.7895,-5.7685,0.0409,0.0421,0.0409,0.0421
D1,0.0999,0.4924,0.0435,5.8122,-5.6423,0.0428,0.0443,0.0428,0.0442
D2,0.1107,0.4337,0.0378,4.1964,-5.3966,0.037,0.0387,0.037,0.0387
D3,0.4397,-0.3596,0.0406,14.0176,-5.73,0.0399,0.0414,0.0399,0.0414
D4,0.1113,0.3715,0.0316,3.9818,-5.77,0.031,0.0322,0.031,0.0322
D5,0.1521,0.6437,0.0384,3.7676,-6.545,0.0382,0.0386,0.0382,0.0386
D6,0.1049,0.8682,0.0809,3.7315,-4.8575,0.0794,0.0825,0.0794,0.0825
D7,0.1237,0.771,0.101,3.3603,-4.4909,0.0976,0.1046,0.0976,0.1044
E1,0.4991,-0.4221,0.0528,14.314,-5.8672,0.0521,0.0535,0.0521,0.0535
E2,0.1113,0.4385,0.0385,4.1663,-5.5826,0.0378,0.0393,0.0378,0.0392
E3,0.1033,0.5257,0.0387,4.9131,-5.6113,0.0381,0.0393,0.0381,0.0393
E4,0.1098,0.4824,0.0364,4.2084,-5.8397,0.0359,0.0369,0.0359,0.0368
E5,0.1508,0.5429,0.0371,3.6182,-6.5261,0.0368,0.0373,0.0368,0.0373
E6,0.1041,0.8643,0.0805,3.764,-4.9084,0.079,0.0821,0.0791,0.082
E7,0.7421,-0.683,0.1008,10.4581,-4.5979,0.0973,0.1045,0.0972,0.1043
F1,0.5272,-0.449,0.0585,13.6656,-5.2451,0.0571,0.0599,0.0571,0.0598
F2,0.5493,-0.4772,0.0526,12.9934,-5.1088,0.0511,0.054,0.0511,0.054
F3,0.4776,-0.3942,0.0445,14.9772,-5.8739,0.0439,0.0451,0.0439,0.0451
F4,0.1107,0.51,0.0439,4.7534,-5.4874,0.0431,0.0447,0.0431,0.0447
F5,0.1536,0.5454,0.0363,3.8873,-6.3486,0.0361,0.0366,0.0361,0.0366
F6,0.1,0.8716,0.0724,3.7311,-5.0662,0.0713,0.0736,0.0713,0.0736
