Project Name : 20150715_BacterialRespiration_j_RNF       Generated On : 20/07/2015, 16:00:04
Start Date/Time: 15/07/2015, 13:09:31
End Date/Time: 15/07/2015, 15:33:04
User Comment : A: 7243A, 7243B B 7243C, 7243D C: 724, 7034D D: 7241A, blank
Proj. Created By :admin
SDR Serial No. : S-350
Report : @m01:IDENTIFICATION

Serial number     : SEBX0005000350      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 040

Ref LED current   : 055

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY
Temperature : 24.1
Sensor Dish : Oxygen [cO2 [µmol/L]]
Calibration details for Oxygen
Batch No.:  PSt5-1428-01
Phase Angle cal0 : 55.01
Phase Angle cal100 : 48.01
Temperature for cal0 : 22.6
Air Pressure : 975
 
 
Date/Time;             Time/Sec.;             A1;             A2;             A3;             A4;             A5;             A6;             B1;             B2;             B3;             B4;             B5;             B6;             C1;             C2;             C3;             C4;             C5;             C6;             D1;             D2;             D3;             D4;             D5;             D6;;             Temperature;    Error;
15.07.1513:09:33;       1;              377.67;         364.65;         362.35;         378.61;         369.74;         356.84;         369.74;         357.29;         363.73;         358.67;         355.01;         357.75;         371.14;         365.11;         359.13;         236.33;         235.12;         233.92;         259.95;         257.47;         252.96;         268.23;         260.36;         262.42;         ;               23.89;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
15.07.1513:14:38;       306;            379.54;         357.29;         353.18;         377.2;          369.74;         355.01;         366.04;         355.92;         361.89;         354.55;         350.45;         354.55;         364.65;         357.75;         353.18;         124.85;         124.5;          120.25;         154.85;         158.91;         154.12;         267.82;         260.36;         262.01;         ;               23.85;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
15.07.1513:19:42;       610;            366.96;         350.45;         345.01;         375.8;          367.43;         355.01;         363.73;         355.01;         362.35;         348.63;         345.01;         349.08;         358.21;         350.45;         345.01;         32.4;           32.08;          31.12;          71.05;          74.07;          73.06;          266.57;         259.53;         261.6;          ;               23.8;           ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
15.07.1513:24:47;       915;            354.55;         341.4;          336.01;         371.14;         363.73;         358.21;         361.43;         353.18;         360.97;         340.95;         338.25;         340.5;          349.08;         342.3;          335.11;         8.68;           10.55;          4.32;           8.68;           10.87;          13.37;          266.57;         259.53;         261.18;         ;               23.76;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
15.07.1513:29:51;       1219;           343.65;         334.67;         327.09;         368.35;         361.89;         357.75;         360.05;         350.9;          360.05;         333.32;         330.65;         334.22;         339.6;          333.32;         325.32;         8.37;           9.93;           4.01;           7.12;           9.3;            3.08;           266.57;         259.95;         261.18;         ;               23.71;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
15.07.1513:34:56;       1524;           336.46;         326.21;         317.83;         363.27;         359.13;         354.09;         358.21;         348.18;         358.21;         323.99;         321.79;         326.21;         329.31;         323.99;         314.32;         7.74;           9.62;           3.7;            7.12;           8.37;           3.08;           266.15;         259.95;         260.77;         ;               23.68;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
15.07.1513:40:00;       1828;           327.09;         316.07;         307.78;         357.75;         353.64;         350.45;         356.84;         345.01;         354.55;         313.44;         312.13;         317.39;         317.39;         314.32;         302.15;         7.43;           8.99;           3.39;           6.5;            8.68;           3.08;           265.32;         259.53;         260.36;         ;               23.66;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
15.07.1513:45:05;       2133;           316.07;         306.04;         297.41;         353.64;         349.54;         348.63;         355.46;         341.85;         352.72;         303.88;         302.58;         312.13;         305.18;         303.01;         289.71;         6.81;           8.68;           3.08;           6.5;            8.06;           2.46;           264.49;         258.3;          259.12;         ;               23.62;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
15.07.1513:50:10;       2438;           306.04;         296.12;         288.43;         348.18;         345.91;         346.36;         353.64;         339.6;          349.99;         294.84;         292.7;          304.74;         293.98;         292.7;          277.86;         6.81;           8.99;           3.08;           6.5;            7.74;           2.15;           264.49;         258.3;          259.12;         ;               23.59;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
15.07.1513:55:14;       2742;           296.98;         286.73;         279.54;         343.65;         342.3;          344.55;         352.72;         337.8;          348.18;         285.88;         283.34;         297.41;         283.76;         283.34;         266.57;         7.12;           8.99;           3.39;           6.81;           8.37;           2.77;           264.49;         258.3;          259.12;         ;               23.57;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
15.07.1514:00:19;       3047;           287.58;         276.18;         269.07;         339.15;         337.35;         342.3;          350.45;         335.56;         345.46;         276.6;          274.08;         287.16;         273.66;         271.57;         254.19;         7.12;           8.68;           3.39;           6.5;            8.06;           2.46;           263.67;         257.88;         259.12;         ;               23.55;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
